(32.0, 1029.0, 631.0, 1048.0)
(746.0, 198.0, 1185.0, 220.0)
(685.0, 97.0, 685.0, 97.0)
(0.0, 0.0, 1920.0, 65.0)
(0.0, 0.0, 1920.0, 1080.0)
(715.0, 364.0, 1205.0, 400.0)
(715.0, 314.0, 847.0, 336.0)
(1341.15625, 0.0, 1920.15625, 64.0)
(0.0, 997.0, 1920.0, 1080.0)
(0.0, 1080.0, 1920.0, 1080.0)
(0.0, 0.0, 97.0, 19.0)
(1274.34375, 1029.0, 1903.34375, 1048.0)
(745.734375, 10.0, 1175.734375, 54.0)
(746.0, 200.0, 892.0, 218.0)
(715.0, 267.0, 745.0, 289.0)
(685.0, 121.0, 1235.0, 404.0)
(715.0, 364.0, 1205.0, 412.0)
(1341.15625, 0.0, 1904.15625, 64.0)
(0.0, 0.0, 0.0, 2.0)
(578.828125, 0.0, 1340.828125, 64.0)
(746.0, 192.0, 1204.0, 226.0)
(17.0, 1029.0, 1903.0, 1048.0)
(645.671875, 1029.0, 1273.671875, 1048.0)
(1601.609375, 1029.0, 1668.609375, 1047.0)
(1066.109375, 237.0, 1205.109375, 255.0)
(569.578125, 0.0, 1331.578125, 64.0)
(745.734375, 14.0, 1175.734375, 50.0)
(0.0, 0.0, 550.0, 147.0)
(715.0, 168.0, 1205.0, 412.0)
(746.0, 261.0, 1174.0, 295.0)
(725.734375, 10.0, 1175.734375, 54.0)
(715.0, 191.0, 1205.0, 227.0)
(685.0, 432.0, 1235.0, 488.0)
(715.0, 121.0, 1205.0, 152.0)
(746.0, 269.0, 805.0, 287.0)
(17.0, 1029.0, 646.0, 1048.0)
(279.4375, 1029.0, 423.4375, 1047.0)
(715.0, 306.0, 862.0, 336.0)
(725.734375, 14.0, 763.734375, 50.0)
(685.0, 97.0, 1235.0, 97.0)
(1859.984375, 0.0, 1903.984375, 64.0)
(0.0, 0.0, 1920.0, 997.0)
(746.0, 267.0, 1185.0, 289.0)
(715.0, 198.0, 745.0, 220.0)
(1173.0, 267.0, 1203.0, 289.0)
(0.0, 0.0, 90.0, 90.0)
(685.0, 460.0, 1235.0, 460.0)
(16.0, 0.0, 579.0, 64.0)
(1508.671875, 1029.0, 1589.671875, 1047.0)
(685.0, 97.0, 1235.0, 488.0)
(0.0, 0.0, 579.0, 64.0)
(-9310.0, 309.0, -9297.0, 322.0)
(0.0, 65.0, 1920.0, 552.0)
(0.0, 0.0, 44.0, 64.0)
(833.515625, 316.0, 846.515625, 334.0)
(685.0, 97.0, 1235.0, 432.0)
(0.0, 0.0, 1920.0, 0.0)
(0.0, 0.0, 0.0, 0.0)
(715.0, 168.0, 1205.0, 187.0)
(1135.546875, 168.0, 1204.546875, 186.0)
(0.0, 65.0, 0.0, 65.0)
(715.0, 237.0, 1205.0, 256.0)
(833.515625, 317.0, 846.515625, 330.0)
(715.0, 260.0, 1205.0, 296.0)
(1137.734375, 13.0, 1175.734375, 51.0)
